tkatoms_title| TkAtoms| TkAtoms| TkAtoms| TkAtoms
file_dialog| Open Atoms input file| Abrir un archivo de entrada de Atoms| Ouvrir un fichier d'entrée pour Atoms| Lade Atoms Eingabedatei
save_dialog| Save output file| Gravar el fichero de salida| Sauver le fichier| Speichere Ausgabedatei
display| Display Frame| Ventana de exhibicion| Fenêtre d'affichage| Darstellung
sg_browser| Space Group Browser| Browser de Grupos Espaciales| Browser des Groupes de Symetrie| Hilfsprogramm zum Durchsuchen der Raumgruppen
space| Space Group| Grupo espacial| Groupe de symétrie| Raumgruppe
a| A| A| A| A
b| B| B| B| B
c| C| C| C| C
alpha| Alpha| Alpha| Alpha| Alpha
beta| Beta| Beta| Beta| Beta
gamma| Gamma| Gamma| Gamma| Gamma
elem| Elem.| Elem.| Elem.| Elem.
x| X| X| X| X
y| Y| Y| Y| Y
z| Z| Z| Z| Z
tag| Tag| Tag| Ident.| Tag
core| Core| Cent.| Cent.| Zentralatom
unique| Unique Crystallographic Sites| Sitios unicos cristalograficos| Positions cristallographiques asymétriques| Kristallgitterplatz
nsites| Number of Sites:| Numero de sitios:| Nombre de sites:| Anzahl der Plätze:
file| File| Fichero| Fichier| Datei
data| Data| Datos| Date| Daten
clear_menu| Clear| Borrar| Effacer| Menü Löschen
data_menu| Data| Datos| Données| Dateimenü
help_menu| Help| Ayuda| Aide| Hilfe
space_validate| Validate Cell| Validar la celdilla| Valider la cellule| Überprüfe Elementarzelle
space_browse| Browse Space Groups| Mirar los Grupos Espaciales| Voir les Groupes de Symétrie| Durchsuche Raumgruppen
add| Add 1 Site| Agregar un sitio| Ajouter un site| Füge einen Kristallplatz hinzu
clear_lattice| Clear Unit Cell| Borrar la celdilla| Effacer la cellule| Elementarzelle löschen
clear_site| Clear| Borrar| Effacer| Lösche Atomlagen
clear_all| Clear All| Borrar Todo| Effacer Tout| Alles Löschen
insert_shift| Insert shift vector| Insertar el 'shift vector'| Insérer le 'shift vector'| Füge Translatiosnsvektor ein
help_atoms| Help with Atoms| Ayuda con Atoms| Aide avec Atoms| Hilfe für Atoms
about_atoms| About Atoms| Informacion acerca de Atoms| Informations sur Atoms| Über Atoms
remove| Remove| Remover| Renvoyer| Löschen
dump| Dump data| Desechar los datos| Décharger les données| Verwerfe Daten
quit| Quit| Terminar| Quitter| Quit
ok| OK| OK| OK| OK
atoms_validate| Validate| Validar| Valider| Überprüfe
run_atoms| Run Atoms| Correr Atoms| Exécuter Atoms| Starte Atoms
clear_atoms| Clear Atoms| Borrar Atoms| Eclaircir Atoms| Lösche Schlüsselworte
load_input| Open input file| Abrir fichero| Charger un fichier| Lade Eingabedatei
save_input| Save Input File| Grabar fichero| Sauver le fichier d'entrée| Speichere Eingabedatei
load_database| Load from database| Abrir usando la base de datos| Charger une base de données| Lese aus Datensatz
dismiss| Dismiss| Descartar| Quitter| Vergiss es
back| Back| Volver atras| Antérieur| Zurück
save| Save| Grabar| Sauver| Speichern
run_feff| Run FEFF| Correr FEFF| Exécuter FEFF| Starte FEFF
atoms_description| Atoms: make atomic clusters from crystallographic data| Atoms: construyendo conjunto de atomos basado en los datoscristalograficos| Atoms: établit une structure d'atomes à partir de donnéescristallographiques| Atoms: berechnet Cluster aus kristallographischen Daten
dafs_description| DAFS: simulate energy dependent anomalous diffraction| DAFS: simular la dependencia energetica de la difraccion anomala| DAFS: simuler la dépendance en énergie de ladiffraction anomale| DAFS: simuliere anormale Brechung energiedispersiv
powder_description| Powder: simulate powder diffraction data| Powder: simular difraccion de policristal| Powder: simuler la diffraction de poudre| Powder: simuliere Pulverbeugungsdiagramm
edge| Edge:| Ombral:| Seuil:| Kante:
rmax| Cluster Size:| Radio maximo:| Rayon maximum:| Clustergröße:
nitrogen| N2| N2| N2| N2
argon| Ar| Ar| Ar| Ar
krypton| Kr| Kr| Kr| Kr
shift| Shift Vector:| Shift Vector:| Shift Vector:| Translationsvektor:
title| Titles:| Titulos:| Titres:| Titel:
fill_gases| I0 Fill Gases| Gases en el detector I0| Gaz pour la mesure de I0| I0 Füllgas
outfiles| Output file types| Estilos de ficheros de salida| Types des fichiers de sortie| Ausgabe Dateityp festlegen
restore| Restore| Restorar| Restituer| Wiederherstellen
not_written| This program has not yet been written.| Este programa aun no ha sido escrito.| Ce programme n'est pas encore écrit.| Dieses Programm existiert noch nicht !
created_by| This file was created by| Este fichero fue creado por| Ce fichier a été écrit par| Datei wurde erstellt von
no_feff_yet| Running Feff from within TkAtoms is not yet possible.| Todavia no puede utilizar Feff desde TkAtoms.| On ne peut pas exécuter encore Feff par TkAtoms.| Feff kann noch nicht aus TkAtoms gestartetwerden.
absorption_description| Absorption: Calculations using tables of X-ray absorption cross sections.| Absorption: Calculationes usando tabulas de X-ray absorption cross sections.| Absorption: Calculs utilisant des tables d'absorption des rayons X.| Absorption: Berechnung des Absorptionsquerschnittes.
clear_absorption| Clear Absorption Data| Borrar los datos de absorption| Effacer les données d'absorption| Lösche Absorptionsdaten
data_resources| Data Resources| Recurso des Datos| Sources des Données| Datenquelle
run_absorption| Run Absorption| Correr Absorption| Exécuter Absorption| Starte Absorptionsberechnung
abs_units| Absorption Units| Unitos de Absorption| Unités d'Absorption| a.u.
total_abs| Total absorption| Absorption total| Absorption totale| Totale Absorption
edge_step| Edge step| Borde| Saut du Seuil| Kantenhub
density| Specific gravity| Densidad| Densité| Dichte
mcmaster_corr| Normalization correction| Correción de normalizacion| Correction de normalisation| McMaster Korrektur
i0_corr| I0 correction| Correción por I0| Correction pour I0| I0 Korrektur
self_amp| Self-absorption amplitude| Self-absorption amplitude| Self-absorption amplitude| Selbstabsorptionsamplitude
self_sigma| Self-Absorption correction| Correción por absorption sí mismo| Correction pour la self-absorption| Selbst-Absorptionskorrektur
sum_sigma| Sum of sigma^2 terms| Suma de términos de sigma^2| Addition des termes sigma^2| Summe der sigma^2
occ| Occ.| Frac.| Occ.| Occ.
valence| Valence| Valence| Valence| Valenz
file| File| Fichero| Fichier| Datei
color| Color| Color| Couleur| Farbe
B| B| B| B| B
Bx| Bx| Bx| Bx| Bx
By| By| By| By| By
Bz| Bz| Bz| Bz| Bz
save_absorption| Save absorption calculation| Grabar la calculacion de absorption| Sauver le calcul d'absorption| Speichere Absorptionsberechnung
abs_length| Absorption length| Largura de absorption| Longueur d'Absorption| Absorptionslänge
unit_edge| Unit edge length| Longura de borde unito| Longueure de seuil unité| Kantenlänge
reflection| Reflection| Reflexión| Réflexion| Reflektion
