-Triclinic| Triclinic| Triclinico| Triclinique| Triklin
-Monoclinic| Monoclinic| Monoclinico| Monoclinique| Monoklin
-Orthorhombic| Orthorhombic| Rombico| Orthorhombique| Orthorhombisch
-Tetragonal| Tetragonal| Tetragonal| Tétragonale| Tetragonal
-Trigonal| Trigonal| Trigonal| Trigonale| Trigonal
-Hexagonal| Hexagonal| Hexagonal| Hexagonale| Hexagonal
-Cubic| Cubic| Cubico| Cubique| Kubisch
-MouseLInsert| Mouse-1 to insert this symbol.| Mouse-1 para insertar este simbolo.| Souris-1 pour insérer ce symbole.| Fügen Sie dieses Symbol mit Hilfe der Maus ein.
-MouseLDisplay| Mouse-1 to display space group| Mouse-1 para mostrar al grupo espacial| Souris-1 pour voir ce groupe de symétrie| Mit dem linken Mausbutton zeigen Sie dasRaumgruppensymbol an
-MouseADisplay| Any mouse button for groups of this class.| Cualquier boton de raton para grupos de esta clase.| Cliquez ici pour choisir un groupe.| Zur Auswahl einer Gruppe dieser Klasse könnenSie jeden Mausbutton nutzen.
-RestoreMsg| Restore the initial symbol:| Restorar el simbolo inicial:| Remettre le symbole initial:| Gehe zurück zu ursprünglichem Symbol:
-DismissMsg| Dismiss the space group browser.| Descartar el browser the grupos espaciales.| Fermer le répertoire des groupes de symétrie.| Verlasse das Raumgruppen-Menü.
-Groups| groups| grupos| les groupes| Gruppen
-MouseLR| Mouse-1=insert  Mouse-3=describe| Mouse-1=inserte  Mouse-3=describa| Souris-1=insérer  Souris-3=décrire| Maus(L) = einfügen,  Maus(R) = Erklärung
-BackScreen| Return to the previous screen.| Volver a la pantalla anterior.| Retourner à la page antérieure.| Wechsel zum vorhergehenden Fenster.
-Number| Number| Numero| Numéro| Nummer
-NumberDesc| Space group index from ITC| Indice de grupo espacial basado en ITC| Indice de groupe de symétrie en ITC| Raumgruppenindex nach ITC
-Schoenflies| Schoenflies| Schoenflies| Schoenflies| Schoenflies
-SchoenfliesDesc| Schoenflies notation| Notacion de Schoenflies| Notation de Schoenflies| Schoenflies-Notation
-Full| Full symbol| Simbolo completo| Symbole complet| Vollständige Symbole
-FullDesc| Symbol denoting complete symmetries| Symbol que denota simetrias completas| Symbole décrivant complètement les symétries| Dieses Symbol beschreibt die vollständige Symmetrie
-NewSymbol| New symbol| Simbolo nuevo| Symbole nouveau| Neues Symbol
-NewSymbolDesc| Symbol using \"e\" for the glide plane| Simbolo \"e\" para plano de deslizamiento| Symbole utilisant \"e\" pour le plan de glissement| Gleitspiegelebene durch Symbol \"e\" bezeichnet
-Thirtyfive| 1935 symbol| Simbolo 1935| Symbole de 1935| 1935´er Symbol
-ThirtyfiveDesc| Symbol from the 1935 edition of ITXC| Simbolo de la edicion 1935 de ITXC| Symbole de l'édition de ITXC de 1935| Symbol nach dem ITXC-System (1935)
-Shorthand| Shorthand| Abreviacion| Abréviation| Abkürzung
-ShorthandDesc| Special nicknames for certain space groups| Nombres especialies por algunos grupos| Noms spéciaux pour certains groupes| Spezielle Abkürzungen für diese Raumgruppen:
-Settings| Settings| Anotaciones| Settings| Aufstellungen
-SettingsDesc| Symbols for alternate settings| Simbolos para anotaciones alternativas| Symbole pour les réglages alternant| Symbole für alternative Aufstellungen
-Short| Short symbols| Simbolos cortos| Symboles courts| Kurzsymbol
-ShortDesc| Short symbols for alternate settings| Simbolos cortos para anotaciones alternativas| Symboles courts pour les réglages alternant| Kurz-Symbole für alternative Aufstellungen
-TopTop| Select a crystal class to display all space groups within that class.| Seleccione una clase de cristal para recibir todos los grupos espaciales dentro de esa clase.| Choisissez une classe pour voir tous ses groupes d'espace.| Wählen Sie eine Kristallklasse aus, um alle zu dieserKlasse gehörenden Raumgruppe anzuzeigen.
-ViewCurrent| View current group:| Ver el grupo actual:| Voir le groupe courant:| Betrachte aktuelle Raumgruppe:
-ClassTop| Space group listing:| Lista de grupos espaciales:| Liste des groupes de symétrie:| Liste der Raumgruppen:
-GroupTop| Various symbols which may be used to describe space group:| Simbolos varios que pueden ser usados para describir grupo espacial:| Différents symboles qu'on peut utiliser pour décrire un groupe de symétrie:| Zur Beschreibung dieser Gruppe können verschiedeneSymbole genutzt werden:
-Note| Note:| Nota:| Note:| Anmerkung:
-SettingsMon| The first three settings are for the b axis and beta angle unique.  The next three are for the c axis and gamma angle unique.  The final three are for the a axis and alpha angle unique.  Within each group, the three choices are the possible choices of axes. Atoms has no a priori way of knowing the correct setting for your data.| Los primeros tres valores son para el eje b y el angulo beta unicamente. Los proximos tres son para el eje c y el angulo gamma unicamente. Los tres finales son para el eje a y el angulo alpha unicamente.Dentro de cada grupo, las tres opciones son las opciones posibles para los ejes. Atoms no tiene manera alguna de adivinar cuales son los valores correctos para sus datos.| Les trois premières entrées sont pour l'axe b et l'angle béta, les trois suivantes sont pour l'axe c et l'angle gamma, les trois dernières pour l'axe a et l'angle alpha. Dans chaque groupe les trois choix sont les choix possibles d'axes. Atoms ne peut pas corriger les entrées non valides.| Die ersten drei Aufstellungen nehmen einegleiche Zellachse b und einen gleichen Winkel Beta an, die folgenden dreientsprechend gleiche Achsen c und Winkel Gamma. Die letzten dreiAufstellungen schließlich nehmen gleiche Zellachsen a und Winkel Alpha an.Innerhalb jeder dieser Gruppen sind die bestehenden drei Möglichkeiten diemöglichen Wahlen der Achsen. Atoms hat jedoch keine Möglichkeit zuentscheiden, welche Aufstellung in Ihrem Fall die richtige ist.
-SettingsOrt| The five additional settings correspond to the five additional ways of setting a coordinate system in 3-space.  They correspond to permutations of ba-c, cab, -cba, bca, and a-cb away from the standard setting, abc.  Atoms has no a priori way of knowing the correct setting for your data.| Las cinco definiciones siguientes corresponden a las cinco maneras adicionales de definir el sistema de coordenadas en 3-dimensiones. Estas correspondend a permutaciones de ba-c, cab, -cba, bca, y a-cb de la definicion estandard, abc.  Atoms no tiene manera alguna de adivinar la definicion correcta para sus datos.| Les cinq définitions suivantes correspondent aux cinq façons différentes de définir un espace à trois dimensions. Ils correspondent aux permutations ba-c, cab, -cba, bca et a-cb de la définition standard abc.Atoms ne sait pas corriger les définitions incorrectes.| Die fünf zusätzlichen Aufstellungen gehören zuden fünf weiteren Möglichkeiten, ein Koordinatensystem im dreidimensionalenRaum aufzuspannen. Dies entspricht den Permutationen ba-c, cab, -cba, bcaund a-cb der Grundaufstellung abc. Atoms kann jedoch nicht entscheiden,welche Aufstellung für Ihr Problem die richtige ist.
-SettingsTet| C and F centered tetragonal cells are related to the standard cells by a 45 degree rotation in ab plane and a doubling of the cell volume.  Atoms has no a priori way of knowing the correct setting for your data.| Celdas tetragonales de tip C y F estan relacionadas con la celda estandard por una rotacion de 45 grados en el plano ab y el aumento al doble del volumen de la celda. Atoms no tiene manera alguna de adivinar la definicion correcta para sus datos.| Les mailles tétragonales C et FC sont reliées aux mailles standards par une rotation de 45 degrés dans le plan ab et par le doublement du volume de maille. Atoms ne peut pas corrigé les entrées non valides.| C- und F-zentrierte tetragonale Zellen leitensich von der regulären Aufstellung durch eine Rotation um 45° in derab-Ebene und Verdopplung des Zellvolumens ab. Atoms hat jedoch keineMöglichkeit zu entscheiden, welche Aufstellung für Ihr Problem die korrekteist.
-SettingsRho| You may use the rhombohedral parameters, in which case you must specify a and alpha.  You may also use the trigonal parameters in which case you must specify a and c.  The trigonal representation has three times the volume of the rhombohedral representation.  Atoms has no a priori way of knowing the correct setting for your data.| Ud. puede usar los parametoros rombicos, pero debe especificar a y alpha. Ud. puede tambien usar los parameros trigonales pero debe especificar a y c. La representacion trigonal tiene tres veces el volumen de la representacion rombica. Atoms no tiene manera alguna de adivinar la definicion correcta para sus datos.| Vous pouvez utiliser les paramètres rhomboédriques, dans ce cas spécifier a et alpha. Vous pouvez aussi utiliser les paramètres de maille trigonale, dans ce cas utiliser a et c. la Représentation trigonale a trois fois le volume de la représentation rhombohédrique.| Sie können die rhombohedrischen Parameter werden,dann müssen Sie allerdings a and alpha eingeben. Alterntiv können Sie auchdie trigonalen Parameter verwenden und somit a and c eingeben.  Dietrigonale Aufstellung hat das dreifache Zellvolumen der rhombohedrischenAufstellung.  Atoms hat keine Präferenz für die Zellaufstellung Ihrer Daten.
