# Merge in e space of:
# ** C:/spectra for calibration/inasp_1.dat (inasp_1)
# ** C:/spectra for calibration/inasp_2.dat (inasp_2)
# ** C:/spectra for calibration/inasp_3.dat (inasp_3)
#------------------------
#   ee        xmu        bkg        stddev
  11667.000       0.23654833       0.23654833       0.40002859E-01
  11672.014       0.23313800       0.23313800       0.39963075E-01
  11677.014       0.22980333       0.22980333       0.40106281E-01
  11682.004       0.22645367       0.22645367       0.39760810E-01
  11687.014       0.22305000       0.22305000       0.39523042E-01
  11692.013       0.21981167       0.21981167       0.39606674E-01
  11697.016       0.21668367       0.21668367       0.39554729E-01
  11702.005       0.21348667       0.21348667       0.39502383E-01
  11707.001       0.21001233       0.21001233       0.39317299E-01
  11712.001       0.20652300       0.20652300       0.39119300E-01
  11717.005       0.20342100       0.20342100       0.39028648E-01
  11722.013       0.20054867       0.20054867       0.39078954E-01
  11727.011       0.19773333       0.19773333       0.38854275E-01
  11732.012       0.19469200       0.19469200       0.38890278E-01
  11737.001       0.19147133       0.19147133       0.38731602E-01
  11742.011       0.18846333       0.18846333       0.38705381E-01
  11747.008       0.18504067       0.18504067       0.38949746E-01
  11752.011       0.18220933       0.18220933       0.38676403E-01
  11757.002       0.17956767       0.17956767       0.38572746E-01
  11762.013       0.17642433       0.17642433       0.38716059E-01
  11767.013       0.17323000       0.17323000       0.38638108E-01
  11772.016       0.17032833       0.17032833       0.38556733E-01
  11777.007       0.16725967       0.16725967       0.38648403E-01
  11782.003       0.16389133       0.16389133       0.38172418E-01
  11787.004       0.16107100       0.16107100       0.38364605E-01
  11792.008       0.15825333       0.15825333       0.38165099E-01
  11797.001       0.15539633       0.15539633       0.38462711E-01
  11802.015       0.15284633       0.15284633       0.38353939E-01
  11807.016       0.15018833       0.15018833       0.38142002E-01
  11812.006       0.14772233       0.14772233       0.38256719E-01
  11817.017       0.14523500       0.14523500       0.37987012E-01
  11822.014       0.14275600       0.14275600       0.38177229E-01
  11827.017       0.14049800       0.14049800       0.38005773E-01
  11832.006       0.13864067       0.13864067       0.38082294E-01
  11837.000       0.13740867       0.13740867       0.38031001E-01
  11841.592       0.13700400       0.13700400       0.37859881E-01
  11845.351       0.13743067       0.13743067       0.37922648E-01
  11848.263       0.13887467       0.13887467       0.38101416E-01
  11850.358       0.14064267       0.14064267       0.37950395E-01
  11851.618       0.14233300       0.14233300       0.37846227E-01
  11851.909       0.14241967       0.14241967       0.37886640E-01
  11852.215       0.14296533       0.14296533       0.37875369E-01
  11852.522       0.14363467       0.14363467       0.37928794E-01
  11852.812       0.14430000       0.14430000       0.37870393E-01
  11853.119       0.14500167       0.14500167       0.38023930E-01
  11853.409       0.14567867       0.14567867       0.37595833E-01
  11853.715       0.14646767       0.14646767       0.37772505E-01
  11854.022       0.14729167       0.14729167       0.37494221E-01
  11854.312       0.14812633       0.14812633       0.37850121E-01
  11854.619       0.14914933       0.14914933       0.37845385E-01
