 Copper example                                          Feff  6.01a  potph 4.12
 Abs   Z=29 Rmt= 1.291 Rnm= 1.427 K shell
 Pot 1 Z=29 Rmt= 1.275 Rnm= 1.395
 Gam_ch=1.761E+00 H-L exch
 Mu=-5.515E+00 kf=1.799E+00 Vint=-1.785E+01 Rs_int= 2.016
 S02  1.000                                              Feff  6.01a ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00     12.00     2   2.5527
 feff0002.dat    0.00000     22.98      6.00     2   3.6100
 feff0003.dat    0.00000     10.59     48.00     3   3.8290
 feff0004.dat    0.00000      8.65     48.00     3   4.3577
 feff0005.dat    0.00000     55.40     24.00     2   4.4213
 feff0006.dat    0.00000     10.62     48.00     3   4.7633
 feff0007.dat    0.00000     21.82     96.00     3   4.7633
 feff0008.dat    0.00000     18.93     12.00     2   5.1053
 feff0009.dat    0.00000      8.46     12.00     3   5.1053
 feff0010.dat    0.00000     43.71     24.00     3   5.1053
 feff0011.dat    0.00000      8.21     12.00     4   5.1053
 feff0014.dat    0.00000     32.80     12.00     4   5.1053
 feff0018.dat    0.00000      4.14     48.00     3   5.2920
 feff0019.dat    0.00000      4.09     48.00     3   5.2920
 feff0021.dat    0.00000      4.80     48.00     3   5.6977
 feff0022.dat    0.00000     27.86     24.00     2   5.7079
 feff0023.dat    0.00000      8.66     48.00     3   5.9353
 feff0024.dat    0.00000      7.11     48.00     3   5.9353
 feff0025.dat    0.00000      7.70     48.00     3   5.9353
 feff0026.dat    0.00000      5.08     96.00     3   6.0396
 feff0027.dat    0.00000      5.50     96.00     3   6.0396
 feff0028.dat    0.00000      5.28     96.00     4   6.0396
 feff0029.dat    0.00000      5.39     96.00     4   6.0396
 feff0035.dat    0.00000      7.17      8.00     2   6.2527
 feff0036.dat    0.00000      4.41     96.00     3   6.3409
 feff0037.dat    0.00000      5.99     96.00     3   6.3409
 feff0038.dat    0.00000      4.92     96.00     3   6.3409
   27/  30 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -2.297905E-01  3.141862E-01 -2.321245E+00
     0.0500   -2.374350E-01  3.171674E-01 -2.295628E+00
     0.1000   -2.449728E-01  3.200363E-01 -2.269847E+00
     0.1500   -2.523904E-01  3.227944E-01 -2.243898E+00
     0.2000   -2.596743E-01  3.254435E-01 -2.217774E+00
     0.2500   -2.746407E-01  3.334138E-01 -2.173646E+00
     0.3000   -2.892830E-01  3.409433E-01 -2.128490E+00
     0.3500   -3.034670E-01  3.480258E-01 -2.082387E+00
     0.4000   -3.170611E-01  3.546559E-01 -2.035406E+00
     0.4500   -3.364913E-01  3.641377E-01 -1.962979E+00
     0.5000   -3.539572E-01  3.726484E-01 -1.888862E+00
     0.5500   -3.690586E-01  3.801736E-01 -1.813202E+00
     0.6000   -3.814280E-01  3.867001E-01 -1.736111E+00
     0.6500   -3.933801E-01  3.942534E-01 -1.637370E+00
     0.7000   -4.001344E-01  4.003659E-01 -1.536794E+00
     0.7500   -4.012600E-01  4.050149E-01 -1.434521E+00
     0.8000   -3.964660E-01  4.081789E-01 -1.330656E+00
     0.8500   -3.846289E-01  4.114232E-01 -1.207904E+00
     0.9000   -3.647737E-01  4.128460E-01 -1.083407E+00
     0.9500   -3.372126E-01  4.124168E-01 -9.573171E-01
     1.0000   -3.025704E-01  4.101101E-01 -8.297734E-01
     1.0500   -2.577350E-01  4.076072E-01 -6.845343E-01
     1.1000   -2.062854E-01  4.028092E-01 -5.376478E-01
     1.1500   -1.502817E-01  3.957333E-01 -3.895315E-01
     1.2000   -9.206427E-02  3.864421E-01 -2.405487E-01
     1.2500   -2.786788E-02  3.767951E-01 -7.402788E-02
     1.3000    3.415039E-02  3.645310E-01  9.382065E-02
     1.3500    9.068515E-02  3.496800E-01  2.623362E-01
     1.4000    1.387636E-01  3.323366E-01  4.307356E-01
     1.4500    1.815317E-01  3.139977E-01  6.164359E-01
     1.5000    2.104751E-01  2.929937E-01  8.014428E-01
     1.5500    2.244940E-01  2.695683E-01  9.841301E-01
     1.6000    2.239740E-01  2.440575E-01  1.162277E+00
     1.6500    2.117149E-01  2.169253E-01  1.351179E+00
     1.7000    1.881650E-01  1.883303E-01  1.528900E+00
     1.7500    1.579367E-01  1.590152E-01  1.687329E+00
     1.8000    1.262586E-01  1.300296E-01  1.812220E+00
     1.8500    9.712061E-02  1.021774E-01  1.886722E+00
     1.9000    7.681502E-02  7.987802E-02  1.848622E+00
     1.9500    6.836537E-02  6.870926E-02  1.670887E+00
     2.0000    7.228106E-02  7.265906E-02  1.468748E+00
     2.0500    8.844109E-02  8.968426E-02  1.404100E+00
     2.1000    1.111976E-01  1.116317E-01  1.482578E+00
     2.1500    1.335103E-01  1.338735E-01  1.644478E+00
     2.2000    1.481034E-01  1.541822E-01  1.852535E+00
     2.2500    1.450707E-01  1.703440E-01  2.122498E+00
     2.3000    1.191596E-01  1.791401E-01  2.413864E+00
     2.3500    7.416232E-02  1.803562E-01  2.717823E+00
     2.4000    1.944405E-02  1.743269E-01  3.029822E+00
     2.4500   -2.471297E-02  1.707881E-01  3.286802E+00
     2.5000   -6.468117E-02  1.646514E-01  3.545308E+00
     2.5500   -9.615468E-02  1.561912E-01  3.804767E+00
     2.6000   -1.162186E-01  1.457148E-01  4.064859E+00
     2.6500   -1.282720E-01  1.381679E-01  4.331617E+00
     2.7000   -1.288107E-01  1.296368E-01  4.599439E+00
     2.7500   -1.188396E-01  1.203048E-01  4.868619E+00
     2.8000   -1.004247E-01  1.103483E-01  5.139732E+00
     2.8500   -7.767530E-02  1.037692E-01  5.437329E+00
     2.9000   -5.040531E-02  9.698567E-02  5.736663E+00
     2.9500   -2.181846E-02  9.007452E-02  6.038525E+00
     3.0000    5.048446E-03  8.310238E-02  6.343973E+00
     3.0500    3.032025E-02  8.011678E-02  6.671307E+00
     3.1000    5.058191E-02  7.715765E-02  6.998117E+00
     3.1500    6.406972E-02  7.421686E-02  7.324913E+00
     3.2000    6.983472E-02  7.128091E-02  7.652202E+00
     3.2500    7.195114E-02  7.245240E-02  7.971681E+00
     3.3000    6.670313E-02  7.352657E-02  8.288204E+00
     3.3500    5.456185E-02  7.448059E-02  8.602696E+00
     3.4000    3.667626E-02  7.527897E-02  8.915892E+00
     3.4500    1.664972E-02  7.781647E-02  9.209150E+00
     3.5000   -6.008224E-03  7.979064E-02  9.500150E+00
