 ti edge EuTiO3                                          Feff  6.01a  potph 4.12
 Abs   Z=22 Rmt= 1.089 Rnm= 1.378 K shell
 Pot 1 Z=63 Rmt= 1.727 Rnm= 1.814
 Pot 2 Z=22 Rmt= 1.091 Rnm= 1.386
 Pot 3 Z= 8 Rmt= 0.926 Rnm= 1.141
 Gam_ch=9.067E-01 H-L exch
 Mu=-6.373E+00 kf=2.024E+00 Vint=-2.198E+01 Rs_int= 1.792
 S02  1.000                                              Feff  6.01a ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      6.00     2   1.9895
 feff0002.dat    0.00000     17.25     24.00     3   3.3963
 feff0003.dat    0.00000     57.15      8.00     2   3.4459
 feff0004.dat    0.00000     23.36      6.00     2   3.9790
 feff0005.dat    0.00000     16.43      6.00     3   3.9790
 feff0006.dat    0.00000     63.77     12.00     3   3.9790
 feff0007.dat    0.00000     27.48      6.00     4   3.9790
 feff0008.dat    0.00000      9.80      6.00     4   3.9790
 feff0009.dat    0.00000     42.51      6.00     4   3.9790
 feff0011.dat    0.00000     25.50     48.00     3   4.1245
 feff0012.dat    0.00000     56.76     24.00     2   4.4487
   11/  11 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000   -7.387760E-02  9.343532E-02 -2.229671E+00
     0.0500   -7.405061E-02  1.062922E-01 -2.370847E+00
     0.1000   -7.475250E-02  1.211261E-01 -2.476482E+00
     0.1500   -7.598427E-02  1.372988E-01 -2.555125E+00
     0.2000   -7.774669E-02  1.543908E-01 -2.613866E+00
     0.2500   -9.209808E-02  1.925117E-01 -2.642758E+00
     0.3000   -1.094283E-01  2.312555E-01 -2.648682E+00
     0.3500   -1.296832E-01  2.703458E-01 -2.641287E+00
     0.4000   -1.527963E-01  3.096360E-01 -2.625517E+00
     0.4500   -2.285366E-01  4.027598E-01 -2.538216E+00
     0.5000   -3.161556E-01  4.953061E-01 -2.449300E+00
     0.5500   -4.137949E-01  5.869812E-01 -2.359234E+00
     0.6000   -5.192977E-01  6.774937E-01 -2.268222E+00
     0.6500   -6.399836E-01  7.265526E-01 -2.063939E+00
     0.7000   -7.293840E-01  7.652564E-01 -1.878196E+00
     0.7500   -7.848930E-01  7.921860E-01 -1.706592E+00
     0.8000   -8.063711E-01  8.066098E-01 -1.546468E+00
     0.8500   -8.110068E-01  8.179751E-01 -1.440174E+00
     0.9000   -8.018030E-01  8.243275E-01 -1.336489E+00
     0.9500   -7.799325E-01  8.259154E-01 -1.235537E+00
     1.0000   -7.469771E-01  8.230324E-01 -1.137511E+00
     1.0500   -7.136946E-01  8.374017E-01 -1.020315E+00
     1.1000   -6.646360E-01  8.458753E-01 -9.038876E-01
     1.1500   -6.020946E-01  8.487626E-01 -7.886171E-01
     1.2000   -5.288562E-01  8.464332E-01 -6.748825E-01
     1.2500   -4.348135E-01  8.447577E-01 -5.406808E-01
     1.3000   -3.320016E-01  8.368603E-01 -4.079440E-01
     1.3500   -2.252848E-01  8.233162E-01 -2.771661E-01
     1.4000   -1.193491E-01  8.047754E-01 -1.488502E-01
     1.4500   -3.304009E-03  7.860203E-01 -4.203477E-03
     1.5000    1.052530E-01  7.623164E-01  1.385125E-01
     1.5500    2.020777E-01  7.343556E-01  2.787737E-01
     1.6000    2.840559E-01  7.028783E-01  4.160301E-01
     1.6500    3.619613E-01  6.711453E-01  5.696279E-01
     1.7000    4.197421E-01  6.358345E-01  7.210101E-01
     1.7500    4.565730E-01  5.975967E-01  8.695137E-01
     1.8000    4.730689E-01  5.571118E-01  1.014365E+00
     1.8500    4.737385E-01  5.139814E-01  1.172450E+00
     1.9000    4.548680E-01  4.689305E-01  1.325279E+00
     1.9500    4.206503E-01  4.227513E-01  1.471057E+00
     2.0000    3.760380E-01  3.762892E-01  1.607342E+00
     2.0500    3.226136E-01  3.286007E-01  1.761980E+00
     2.1000    2.648543E-01  2.799908E-01  1.901114E+00
     2.1500    2.092804E-01  2.317515E-01  2.014803E+00
     2.2000    1.617034E-01  1.857223E-01  2.085024E+00
     2.2500    1.213024E-01  1.392861E-01  2.084590E+00
     2.3000    9.919022E-02  1.053148E-01  1.913513E+00
     2.3500    9.718216E-02  9.718220E-02  1.569948E+00
     2.4000    1.142003E-01  1.181193E-01  1.312483E+00
     2.4500    1.591782E-01  1.660780E-01  1.281532E+00
     2.5000    2.113452E-01  2.146743E-01  1.394457E+00
     2.5500    2.582257E-01  2.582273E-01  1.567289E+00
     2.6000    2.886720E-01  2.944226E-01  1.768765E+00
     2.6500    2.910961E-01  3.155086E-01  1.966761E+00
     2.7000    2.745904E-01  3.320935E-01  2.168115E+00
     2.7500    2.396409E-01  3.441294E-01  2.371268E+00
     2.8000    1.887353E-01  3.516439E-01  2.575044E+00
     2.8500    1.309929E-01  3.592934E-01  2.768406E+00
     2.9000    6.441825E-02  3.627255E-01  2.963051E+00
     2.9500   -5.855392E-03  3.621345E-01  3.157763E+00
     3.0000   -7.455628E-02  3.578086E-01  3.351500E+00
     3.0500   -1.414057E-01  3.546410E-01  3.551723E+00
     3.1000   -1.997223E-01  3.482466E-01  3.752375E+00
     3.1500   -2.456340E-01  3.387968E-01  3.952654E+00
     3.2000   -2.765263E-01  3.265166E-01  4.151717E+00
     3.2500   -2.945729E-01  3.149984E-01  4.350294E+00
     3.3000   -2.970602E-01  3.011305E-01  4.547785E+00
     3.3500   -2.850236E-01  2.851597E-01  4.743284E+00
     3.4000   -2.607334E-01  2.673724E-01  4.935701E+00
     3.4500   -2.297001E-01  2.508522E-01  5.125992E+00
     3.5000   -1.923560E-01  2.330327E-01  5.312193E+00
     3.5500   -1.522749E-01  2.142555E-01  5.492669E+00
     3.6000   -1.129100E-01  1.949043E-01  5.665304E+00
     3.6500   -7.678945E-02  1.768053E-01  5.833906E+00
     3.7000   -4.590454E-02  1.588832E-01  5.990087E+00
     3.7500   -2.160679E-02  1.416559E-01  6.130058E+00
     3.8000   -4.240192E-03  1.257165E-01  6.249451E+00
     3.8500    7.352328E-03  1.119138E-01  6.348929E+00
     3.9000    1.390020E-02  1.003960E-01  6.422085E+00
     3.9500    1.706834E-02  9.179909E-02  6.470205E+00
     4.0000    1.875354E-02  8.653640E-02  6.501631E+00
     4.0500    2.054244E-02  8.450951E-02  6.528724E+00
     4.1000    2.400235E-02  8.540005E-02  6.568082E+00
