# data from ifeffit
#------------------------
#   lambda    xmu
  1.4111241        1.0136610
  1.4095112       0.99498640
  1.4079114       0.99006790
  1.4063118       0.98503450
  1.4047185       0.98010050
  1.4031252       0.97518120
  1.4015320       0.97038090
  1.3999519       0.96569310
  1.3983650       0.96098390
  1.3967914       0.95623120
  1.3952109       0.95155970
  1.3936437       0.94727970
  1.3920764       0.94277890
  1.3905091       0.93878160
  1.3889484       0.93476270
  1.3873942       0.93193260
  1.3873142       0.93189790
  1.3872408       0.93196050
  1.3871674       0.93170570
  1.3870940       0.93146750
  1.3870072       0.93150930
  1.3869405       0.93150450
  1.3868673       0.93139010
  1.3867938       0.93132910
  1.3867206       0.93124090
  1.3866337       0.93112220
  1.3865670       0.93102130
  1.3864937       0.93090210
  1.3864202       0.93072980
  1.3863337       0.93061220
  1.3862602       0.93049900
  1.3861934       0.93063260
  1.3861201       0.93054690
  1.3860333       0.93039820
  1.3859601       0.93038800
  1.3858866       0.93033460
  1.3858199       0.93035580
  1.3857466       0.93029560
  1.3856599       0.93024980
  1.3855863       0.93024640
  1.3855131       0.93018870
  1.3854462       0.93025890
  1.3853663       0.93023500
  1.3852929       0.93011570
  1.3852194       0.93028520
  1.3851461       0.93019820
  1.3850727       0.93034810
  1.3849926       0.93033300
  1.3849192       0.93025190
  1.3848459       0.93034520
  1.3847726       0.93042740
  1.3846991       0.93056230
  1.3846190       0.93062020
  1.3845457       0.93070820
  1.3844723       0.93091370
  1.3843990       0.93104400
  1.3843188       0.93115120
  1.3842454       0.93123060
  1.3841721       0.93147950
  1.3840986       0.93158050
  1.3840254       0.93184670
  1.3839520       0.93226390
  1.3838718       0.93255850
  1.3837986       0.93271400
  1.3837251       0.93312980
  1.3836517       0.93335920
  1.3835782       0.93383660
  1.3834984       0.93406280
  1.3834249       0.93457980
  1.3833515       0.93508460
  1.3832782       0.93576700
  1.3832047       0.93634390
  1.3831248       0.93716850
  1.3830513       0.93782530
  1.3829779       0.93861000
  1.3829045       0.93936510
  1.3828310       0.94040530
  1.3827578       0.94136680
  1.3826776       0.94266520
  1.3826044       0.94408420
  1.3825308       0.94585200
  1.3824574       0.94690610
  1.3823841       0.94848390
  1.3823107       0.95100490
  1.3822241       0.95372500
  1.3821506       0.95592260
  1.3820773       0.95914110
  1.3820038       0.96383830
  1.3819371       0.96587010
  1.3818638       0.97046460
  1.3817769       0.97779870
  1.3817036       0.98572150
  1.3816302       0.99592830
  1.3815635        1.0040120
  1.3814901        1.0257270
  1.3814168        1.0413800
  1.3813434        1.0651330
  1.3812566        1.1294670
  1.3811898        1.2088820
  1.3811164        1.3478110
  1.3810430        1.5768250
  1.3809697        1.7812450
  1.3808963        1.9227310
  1.3808162        1.9908120
  1.3807430        2.0143870
  1.3806695        2.0062670
  1.3805962        1.9853420
  1.3805227        1.9606980
  1.3804494        1.9481550
  1.3803759        1.9625770
  1.3803026        1.9887410
  1.3802224        2.0341570
  1.3801489        2.0871150
  1.3800757        2.1299850
  1.3800021        2.1660790
  1.3799288        2.2046770
  1.3798554        2.2667850
  1.3797820        2.3053450
  1.3797019        2.3775220
  1.3796286        2.4475870
  1.3795551        2.5507360
  1.3794817        2.6288020
  1.3794084        2.7393060
  1.3793350        2.8469210
  1.3792615        2.9261290
  1.3791883        3.0043840
  1.3791148        3.1031220
  1.3790280        3.2110400
  1.3789613        3.2539940
  1.3788880        3.2996880
  1.3788145        3.3074430
  1.3787412        3.2928120
  1.3786677        3.2706220
  1.3785944        3.2321570
  1.3785208        3.1938800
  1.3784475        3.1538730
  1.3783674        3.1101480
  1.3782942        3.0766090
  1.3782206        3.0576630
  1.3781472        3.0444360
  1.3780737        3.0388960
  1.3780005        3.0472990
  1.3779270        3.0675140
  1.3778536        3.1005600
  1.3777803        3.1643850
  1.3777070        3.1982860
  1.3776335        3.2534360
  1.3775467        3.3039220
  1.3774798        3.3417080
  1.3774067        3.3591580
  1.3773331        3.3560860
  1.3772598        3.3370210
  1.3771863        3.2945900
  1.3771129        3.2714270
  1.3770395        3.2300070
  1.3769661        3.2081340
  1.3768925        3.1515900
  1.3768193        3.1261710
  1.3767458        3.0947090
  1.3766658        3.0632520
  1.3765924        3.0432380
  1.3765189        3.0224310
  1.3764456        2.9949220
  1.3763721        2.9758280
  1.3762989        2.9553770
  1.3762254        2.9415750
  1.3761521        2.9332270
  1.3760785        2.9312590
  1.3759116        2.9416810
  1.3757450        2.9559670
  1.3755782        2.9807340
  1.3754045        3.0086920
  1.3752243        3.0616030
  1.3750442        3.1117650
  1.3748640        3.1512680
  1.3746771        3.2090080
  1.3744903        3.2654560
  1.3743035        3.3094510
  1.3741099        3.3440660
  1.3739098        3.3479330
  1.3737160        3.3174080
  1.3735094        3.2566850
  1.3733088        3.1975530
  1.3731021        3.1274610
  1.3728887        3.0741510
  1.3726750        3.0388780
  1.3724546        3.0145890
  1.3722412        3.0094690
  1.3720209        3.0190480
  1.3717941        3.0425270
  1.3715672        3.0643160
  1.3713334        3.0703780
  1.3711064        3.0605920
  1.3708595        3.0499290
  1.3706326        3.0564790
  1.3703858        3.0833770
  1.3701387        3.1111590
  1.3698984        3.1176800
  1.3696381        3.1120900
  1.3693911        3.1145850
  1.3691375        3.1359690
  1.3688838        3.1667580
  1.3686235        3.1947330
  1.3683566        3.2127870
  1.3680828        3.2308450
  1.3678223        3.2525700
  1.3675488        3.2859080
  1.3672751        3.3204780
  1.3669945        3.3470800
  1.3667143        3.3479730
  1.3664339        3.3224220
  1.3661468        3.2700370
  1.3658598        3.1997040
  1.3655662        3.1414430
  1.3652723        3.0963010
  1.3649786        3.0566420
  1.3646715        3.0350200
  1.3643778        3.0305870
  1.3640707        3.0085540
  1.3637635        2.9545970
  1.3634564        2.9050360
  1.3631425        2.8691760
  1.3628222        2.8610180
  1.3625084        2.8815110
  1.3621877        2.9177720
  1.3618607        2.9652040
  1.3615334        3.0179640
  1.3612064        3.0679910
  1.3608725        3.1005660
  1.3605387        3.1073790
  1.3601982        3.0909570
  1.3598643        3.0712160
  1.3595169        3.0650360
  1.3591698        3.1052950
  1.3588224        3.2036220
  1.3584752        3.3276290
  1.3581214        3.3905440
  1.3577675        3.3930800
  1.3574069        3.3635640
  1.3570463        3.3343240
  1.3566790        3.3005800
  1.3563118        3.2388970
  1.3559444        3.1564610
  1.3555771        3.0558250
  1.3551963        2.9465660
  1.3548224        2.8392570
  1.3544419        2.7470800
  1.3540610        2.6897090
  1.3536737        2.6826280
  1.3532863        2.7308710
  1.3528989        2.8165720
  1.3525049        2.9175720
  1.3521108        3.0160810
  1.3517101        3.0809770
  1.3513160        3.1157320
  1.3509085        3.1089100
  1.3505079        3.0700120
  1.3500937        3.0335500
  1.3496863        3.0155550
  1.3492720        3.0079770
  1.3488580        2.9798290
  1.3484371        2.9387810
  1.3480163        2.9299600
  1.3475954        2.9761790
  1.3471678        3.0732680
  1.3467404        3.1701510
  1.3463060        3.2031550
  1.3458784        3.2061420
  1.3454444        3.1903000
  1.3449966        3.1472040
  1.3445623        3.0714210
  1.3441214        2.9773210
  1.3436738        2.8891610
  1.3432261        2.8220560
  1.3427651        2.7813510
  1.3423175        2.7630390
  1.3418564        2.7691460
  1.3414088        2.8001580
  1.3409478        2.8228450
  1.3404867        2.8219070
  1.3400189        2.8267510
  1.3395513        2.8345980
  1.3390834        2.8375950
  1.3386089        2.8527310
  1.3381346        2.8848910
  1.3376534        2.9143350
  1.3371723        2.9340460
  1.3366912        2.9438200
  1.3362099        2.9447690
  1.3357222        2.9428820
  1.3352342        2.9523540
  1.3347396        2.9672950
  1.3342449        2.9868710
  1.3337505        3.0034320
