MRCAT_XAFS V0.3 Datafile
"femag.001" created at APS Sector 10-ID on Sat Jun  9 09:54:35 2001
Ring energy= 7.00 GeV
E0= 7100.00
NUM_REGIONS= 1
SRB= 6900
SRSS= 1
SPP= 0.4
Settling time= 0

***** DATA : LN( I0/IT )    REFERENCE : LN( IT/IRef ) *****

Offsets= 0.00 11495.56 11977.89 306.44 11092.78 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
Gains= 8.00 6.00 7.00 9.00 7.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Fe K-edge 
Fe3O4 thin film
 
------------------------------------------------------------------------------------------------
   energy joerger_timer       Io       It       If     Iref 
 6901.4356  15173030 30965 78090 212.5 174122.5
 6902.1809  12889690 26355 66517.5 182.5 148135
 6903.6318  12889950 26232.5 66265 177.5 148295
 6904.9624  12890322 26397.5 66720 177.5 148247.5
 6906.0715  12890110 26397.5 66755 180 148265
 6907.282   12890365 26370 66722.5 182.5 148170
 6908.4323  15469852 31677.5 80215 215 178137.5
 6909.6033  12888465 26452.5 67015 180 148612.5
 6910.7948  12891068 26482.5 67150 182.5 148785
 6911.9464  12889562 26437.5 67085 182.5 148715
 6913.1388  12890325 26582.5 67480 185 149105
 6914.3113  12889988 26625 67640 182.5 149445
 6915.4237  12890335 26582.5 67580 182.5 149462.5
 6916.6173  12890130 26490 67385 185 149047.5
 6917.8114  15468768 31925 81262.5 217.5 179272.5
 6918.9654  12889558 26727.5 68080 185 149785
 6920.1603  12891285 26715 68102.5 185 149705
 6921.3151  12889238 26785 68325 185 150005
 6922.4906  12891330 26782.5 68365 185 150072.5
 6923.626   12889125 26842.5 68552.5 185 150735
 6924.8023  12890545 26957.5 68887.5 187.5 150642.5
 6926.0196  15467785 32390 82855 227.5 181347.5
 6927.1765  12890695 26975 69057.5 187.5 151047.5
 6928.3744  12889695 27157.5 69562.5 190 151297.5
 6929.5117  12890918 27120 69525 192.5 151420
 6930.6698  12889442 27177.5 69722.5 190 151627.5
 6931.8283  12891095 27187.5 69785 190 151860
 6933.0482  12889478 27190 69845 192.5 151832.5
 6934.1872  12891412 27132.5 69750 192.5 151855
 6935.2859  12888865 27290 70210 192.5 152330
 6936.4053  12891725 27425 70597.5 195 152930
 6937.5047  12888702 27312.5 70370 197.5 152367.5
 6938.6044  12891042 27360 70530 192.5 152430
 6939.7249  10311428 21907.5 56512.5 155 155105
 6940.8051  12889920 27320 70510 192.5 118805
 6941.9467  12890432 27370 70682.5 195 152457.5
 6943.0683  12890078 27345 70675 195 152565
 6944.1495  12890482 27497.5 71102.5 197.5 152970
 6945.2515  12889930 27485 71125 195 153010
 6946.3743  12890388 27645 71582.5 197.5 153495
 6947.477   10312800 22165 57417.5 160 122887.5
 6948.6005  12889525 27687.5 71770 195 153680
 6949.7243  12890388 27677.5 71800 197.5 153532.5
 6950.8282  12890015 27765 72075 197.5 153785
 6951.9528  12890468 27800 72222.5 200 153767.5
 6953.0574  12889980 27815 72322.5 200 153917.5
 6954.1623  12890348 27812.5 72362.5 202.5 153867.5
 6955.3699  12890195 27897.5 72632.5 200 154110
 6956.5575  12890015 27950 72830 202.5 154207.5
 6957.7456  12890188 27950 72867.5 202.5 154007.5
 6958.934   12890308 28035 73125 200 154492.5
 6960.1024  12890098 28047.5 73205 200 154480
 6961.2712  15468155 33777.5 88212.5 247.5 185615
 6962.4609  12890182 28040 73300 202.5 154282.5
 6963.6716  12890138 28075 73442.5 205 154432.5
 6964.8827  12890335 28065 73470 205 154257.5
 6966.0531  12890205 28227.5 73947.5 207.5 154760
 6967.224   12890355 28197.5 73927.5 205 154470
 6968.4158  12889965 28260 74147.5 205 154687.5
 6969.5875  15468305 33995 89265 252.5 186140
 6970.8008  12890612 28362.5 74520 210 155105
 6971.9939  12889882 28387.5 74625 210 155305
 6973.1874  12890622 28455 74855 210 155530
 6974.3608  12889728 28467.5 74945 210 155220
 6975.514   12890548 28540 75177.5 212.5 155382.5
 6976.75    12889888 28620 75447.5 215 155507.5
 6977.9453  12890490 28575 75367.5 212.5 155195
 6979.1616  15467990 34277.5 90480 255 186215
 6980.337   12889918 28690 75775 210 155082.5
 6981.5129  12890470 28645 75705 217.5 154840
 6982.7099  12889928 28775 76110 217.5 155280
 6983.866   12890528 28850 76360 220 155407.5
 6985.1051  12889995 28847.5 76405 220 155422.5
 6986.3033  12890442 28897.5 76607.5 220 155147.5
 6987.5019  15468210 34785 92260 262.5 186872.5
 6988.6804  12890000 29045 77097.5 220 155692.5
 6989.8592  12890350 29097.5 77300 222.5 156102.5
 6991.0591  12890142 29147.5 77460 222.5 156232.5
 6992.2802  12890170 29292.5 77887.5 222.5 156187.5
 6993.481   12890190 29380 78187.5 225 156342.5
 6994.6822  12890288 29435 78395 227.5 156545
 6995.8424  15468410 35340 94195 275 187515
 6997.0238  12890018 29445 78547.5 230 156220
 6998.247   12890282 29387.5 78445 225 156032.5
 6999.4707  12890048 29407.5 78550 225 155875
 7000.6741  12890555 29510 78867.5 227.5 156047.5
 7001.8364  12889992 29460 78797.5 230 155867.5
 7003.0406  12890782 29467.5 78862.5 230 155890
 7004.2245  15467652 35607.5 95375 275 187517.5
 7005.4504  12890022 29520 79120 235 155910
 7006.6559  12890472 29720 79712.5 232.5 156175
 7007.8619  12890108 29695 79687.5 235 156057.5
 7009.0475  12890238 29920 80342.5 240 156580
 7010.2335  12889988 29980 80550 237.5 156807.5
 7011.4407  12890425 29955 80540 240 156715
 7012.6692  15468390 36110 97155 285 188415
 7013.8982  12889978 30050 80915 242.5 156920
 7015.0859  12890632 29982.5 80797.5 240 156677.5
 7016.2532  12889835 30097.5 81152.5 245 156850
 7017.4834  12890420 29625 79952.5 240 153787.5
 7018.6933  12889880 30125 81347.5 245 156922.5
 7019.9453  12890505 30357.5 82037.5 247.5 157630
 7021.1143  15469460 36307.5 98192.5 295 188915
 7022.3046  12888572 30262.5 81912.5 250 157657.5
 7023.4535  10312290 24205 65555 202.5 126187.5
 7024.5819  12890600 30395 82355 250 158100
 7025.7316  12889818 30425 82495 255 157927.5
 7026.8607  12890460 30200 81940 252.5 157165
 7028.0112  12889938 30385 82507.5 252.5 158150
 7029.1411  12890650 30525 82935 252.5 158307.5
 7030.2924  12889740 30540 83032.5 260 158642.5
 7031.444   10312540 24462.5 66550 210 127187.5
 7032.596   12890068 30592.5 83282.5 257.5 158940
 7033.7065  12889852 30477.5 83002.5 260 159125
 7034.8803  12890350 30755 83817.5 257.5 159610
 7035.9916  12890195 30705 83735 262.5 159652.5
 7037.1452  12890480 30647.5 83630 262.5 159360
 7038.2991  10312440 24592.5 67152.5 212.5 127827.5
 7039.4535  12889740 30665 83785 265 159882.5
 7040.5873  12890752 30665 83840 267.5 159860
 7041.7844  12889475 30745 84107.5 270 159945
