# TR : TI EDGE EUTIO3 T=ROOM TEMP
# NSLS filename: tieu.301
# NSLS/X11 EDC-5.02 27-Apr-95 00:08:38 E- ENERGY=2.584GEV
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40. FOCUS=F TRANSLT=F
# E0= 4966.0 NREG= 3 NPTS= 356 NSCLRS= 4 EF=     .0
# SRB=   -207.0    -27.1     30.0    746.8
# DEL=           19.995     .305     .070K
# SEC=             1.000    1.000    1.000
# GAINS:    I0=8       It=9       If=10
# OFFSETS:  I0=51438   It=52000   If=47782
#---------------------------------------------------------------------
#     energy          xmu        
  0.4758985E+04   0.4952437E+00
  0.4778979E+04   0.4521067E+00
  0.4798972E+04   0.4103493E+00
  0.4818976E+04   0.3686893E+00
  0.4838963E+04   0.3281368E+00
  0.4858956E+04   0.2880352E+00
  0.4878951E+04   0.2494853E+00
  0.4898958E+04   0.2106559E+00
  0.4918951E+04   0.1732570E+00
  0.4938951E+04   0.1371050E+00
  0.4939247E+04   0.1369099E+00
  0.4939555E+04   0.1362273E+00
  0.4939851E+04   0.1357251E+00
  0.4940172E+04   0.1351578E+00
  0.4940468E+04   0.1346911E+00
  0.4940776E+04   0.1340942E+00
  0.4941073E+04   0.1335872E+00
  0.4941394E+04   0.1329663E+00
  0.4941690E+04   0.1324646E+00
  0.4941986E+04   0.1319498E+00
  0.4942295E+04   0.1315007E+00
  0.4942616E+04   0.1307760E+00
  0.4942913E+04   0.1303139E+00
  0.4943209E+04   0.1297263E+00
  0.4943518E+04   0.1292106E+00
  0.4943839E+04   0.1286152E+00
  0.4944124E+04   0.1282346E+00
  0.4944433E+04   0.1276886E+00
  0.4944742E+04   0.1270010E+00
  0.4945039E+04   0.1267375E+00
  0.4945348E+04   0.1259620E+00
  0.4945657E+04   0.1256792E+00
  0.4945954E+04   0.1250147E+00
  0.4946263E+04   0.1246964E+00
  0.4946572E+04   0.1239713E+00
  0.4946882E+04   0.1236076E+00
  0.4947179E+04   0.1228708E+00
  0.4947488E+04   0.1223791E+00
  0.4947785E+04   0.1218697E+00
  0.4948107E+04   0.1212309E+00
  0.4948404E+04   0.1207180E+00
  0.4948702E+04   0.1202715E+00
  0.4949011E+04   0.1196754E+00
  0.4949333E+04   0.1191342E+00
  0.4949618E+04   0.1187498E+00
  0.4949928E+04   0.1182934E+00
  0.4950238E+04   0.1177658E+00
  0.4950536E+04   0.1174449E+00
  0.4950845E+04   0.1169062E+00
  0.4951155E+04   0.1163985E+00
  0.4951453E+04   0.1160111E+00
  0.4951763E+04   0.1154812E+00
  0.4952061E+04   0.1151058E+00
  0.4952383E+04   0.1144064E+00
  0.4952668E+04   0.1141247E+00
  0.4952979E+04   0.1138587E+00
  0.4953289E+04   0.1132314E+00
  0.4953587E+04   0.1126945E+00
  0.4953897E+04   0.1121645E+00
  0.4954195E+04   0.1117689E+00
  0.4954518E+04   0.1113839E+00
  0.4954803E+04   0.1111942E+00
  0.4955114E+04   0.1108996E+00
  0.4955437E+04   0.1105570E+00
  0.4955723E+04   0.1102159E+00
  0.4956033E+04   0.1099118E+00
  0.4956344E+04   0.1096906E+00
  0.4956642E+04   0.1096200E+00
  0.4956940E+04   0.1096765E+00
  0.4957251E+04   0.1096803E+00
  0.4957574E+04   0.1102038E+00
  0.4957860E+04   0.1109844E+00
  0.4958171E+04   0.1127346E+00
  0.4958482E+04   0.1157163E+00
  0.4958781E+04   0.1201186E+00
  0.4959080E+04   0.1234667E+00
  0.4959391E+04   0.1245287E+00
  0.4959689E+04   0.1243877E+00
  0.4960000E+04   0.1256215E+00
  0.4960312E+04   0.1302834E+00
  0.4960610E+04   0.1385829E+00
  0.4960909E+04   0.1488003E+00
  0.4961221E+04   0.1565601E+00
  0.4961520E+04   0.1577911E+00
  0.4961831E+04   0.1540448E+00
  0.4962130E+04   0.1494400E+00
  0.4962454E+04   0.1474710E+00
  0.4962741E+04   0.1486471E+00
  0.4963052E+04   0.1526432E+00
  0.4963352E+04   0.1594982E+00
  0.4963663E+04   0.1686623E+00
  0.4963962E+04   0.1788672E+00
  0.4964286E+04   0.1896413E+00
  0.4964573E+04   0.1980471E+00
  0.4964885E+04   0.2047955E+00
  0.4965197E+04   0.2095878E+00
  0.4965497E+04   0.2127069E+00
  0.4965796E+04   0.2143489E+00
  0.4966108E+04   0.2142265E+00
  0.4966408E+04   0.2127455E+00
  0.4966707E+04   0.2093751E+00
  0.4967032E+04   0.2051224E+00
  0.4967319E+04   0.2011684E+00
  0.4967631E+04   0.1980750E+00
  0.4967943E+04   0.1965789E+00
  0.4968243E+04   0.1967711E+00
  0.4968543E+04   0.1985302E+00
  0.4968855E+04   0.2018401E+00
  0.4969155E+04   0.2064508E+00
  0.4969455E+04   0.2122279E+00
  0.4969768E+04   0.2205622E+00
  0.4970068E+04   0.2309173E+00
  0.4970368E+04   0.2446612E+00
  0.4970693E+04   0.2637534E+00
  0.4970981E+04   0.2832391E+00
  0.4971293E+04   0.3080429E+00
  0.4971606E+04   0.3350767E+00
  0.4971894E+04   0.3632741E+00
  0.4972207E+04   0.3959765E+00
  0.4972520E+04   0.4308911E+00
  0.4972820E+04   0.4687099E+00
  0.4973121E+04   0.5121355E+00
  0.4973421E+04   0.5583809E+00
  0.4973734E+04   0.6144419E+00
  0.4974035E+04   0.6720209E+00
  0.4974335E+04   0.7357389E+00
  0.4974648E+04   0.7997831E+00
  0.4974949E+04   0.8615292E+00
  0.4975275E+04   0.9173772E+00
  0.4975563E+04   0.9567826E+00
  0.4975864E+04   0.9834991E+00
  0.4976190E+04   0.9970848E+00
  0.4976478E+04   0.9976795E+00
  0.4976792E+04   0.9900971E+00
  0.4977093E+04   0.9766673E+00
  0.4977394E+04   0.9595458E+00
  0.4977707E+04   0.9391928E+00
  0.4978008E+04   0.9157971E+00
  0.4978310E+04   0.8930613E+00
  0.4978623E+04   0.8720751E+00
  0.4978912E+04   0.8546343E+00
  0.4979226E+04   0.8408167E+00
  0.4979527E+04   0.8315831E+00
  0.4979828E+04   0.8261524E+00
  0.4980142E+04   0.8228227E+00
  0.4980444E+04   0.8205868E+00
  0.4980745E+04   0.8182806E+00
  0.4981059E+04   0.8157485E+00
  0.4981361E+04   0.8133957E+00
  0.4981662E+04   0.8113917E+00
  0.4981964E+04   0.8112239E+00
  0.4982278E+04   0.8131254E+00
  0.4982580E+04   0.8182331E+00
  0.4982882E+04   0.8259543E+00
  0.4983196E+04   0.8369283E+00
  0.4983498E+04   0.8487421E+00
  0.4983800E+04   0.8611460E+00
  0.4984102E+04   0.8722659E+00
  0.4984416E+04   0.8821425E+00
  0.4984718E+04   0.8888307E+00
  0.4985020E+04   0.8935322E+00
  0.4985322E+04   0.8958542E+00
  0.4985637E+04   0.8963358E+00
  0.4985939E+04   0.8950225E+00
  0.4986241E+04   0.8925069E+00
  0.4986543E+04   0.8888485E+00
  0.4986858E+04   0.8840321E+00
  0.4987161E+04   0.8791001E+00
  0.4987463E+04   0.8748098E+00
  0.4987766E+04   0.8713511E+00
  0.4988068E+04   0.8690789E+00
  0.4988383E+04   0.8683246E+00
  0.4988686E+04   0.8687077E+00
  0.4988988E+04   0.8705203E+00
  0.4989291E+04   0.8727277E+00
  0.4989593E+04   0.8751304E+00
  0.4989908E+04   0.8773459E+00
  0.4990211E+04   0.8785267E+00
  0.4990514E+04   0.8786455E+00
  0.4990829E+04   0.8775259E+00
  0.4991120E+04   0.8758090E+00
  0.4991435E+04   0.8726228E+00
  0.4991738E+04   0.8693509E+00
  0.4992041E+04   0.8654568E+00
  0.4992356E+04   0.8617906E+00
  0.4992647E+04   0.8578618E+00
  0.4992950E+04   0.8547642E+00
  0.4993278E+04   0.8515791E+00
  0.4993569E+04   0.8491899E+00
  0.4993872E+04   0.8466351E+00
  0.4994175E+04   0.8445365E+00
  0.4994479E+04   0.8424301E+00
  0.4994782E+04   0.8405360E+00
  0.4995098E+04   0.8382318E+00
  0.4995401E+04   0.8358734E+00
  0.4995705E+04   0.8329818E+00
  0.4996008E+04   0.8293288E+00
  0.4997526E+04   0.7956218E+00
  0.4999083E+04   0.7466204E+00
  0.5000667E+04   0.7045045E+00
  0.5002302E+04   0.6701196E+00
  0.5003976E+04   0.6566136E+00
  0.5005677E+04   0.6369686E+00
  0.5007405E+04   0.6098675E+00
  0.5009185E+04   0.5973741E+00
  0.5010992E+04   0.5869011E+00
  0.5012851E+04   0.5690836E+00
  0.5014737E+04   0.5594575E+00
  0.5016663E+04   0.5657448E+00
  0.5018629E+04   0.5819283E+00
  0.5020622E+04   0.5929502E+00
  0.5022668E+04   0.5923001E+00
  0.5024742E+04   0.5859634E+00
  0.5026856E+04   0.5807623E+00
  0.5029010E+04   0.5871298E+00
  0.5031192E+04   0.6075024E+00
  0.5033427E+04   0.6214104E+00
  0.5035678E+04   0.6178261E+00
  0.5037982E+04   0.6011110E+00
  0.5040327E+04   0.5863685E+00
  0.5042701E+04   0.5900607E+00
  0.5045103E+04   0.6053944E+00
  0.5047558E+04   0.6281955E+00
  0.5050056E+04   0.6468288E+00
  0.5052568E+04   0.6428894E+00
  0.5055136E+04   0.6157470E+00
  0.5057732E+04   0.5835889E+00
  0.5060358E+04   0.5613691E+00
  0.5063038E+04   0.5583954E+00
  0.5065748E+04   0.5680910E+00
  0.5068500E+04   0.5750707E+00
  0.5071281E+04   0.5634488E+00
  0.5074118E+04   0.5434465E+00
  0.5076972E+04   0.5207440E+00
  0.5079881E+04   0.4976598E+00
  0.5082794E+04   0.4839211E+00
  0.5085763E+04   0.4777999E+00
  0.5088776E+04   0.4706471E+00
  0.5091832E+04   0.4615246E+00
  0.5094905E+04   0.4527672E+00
  0.5098035E+04   0.4459590E+00
  0.5101196E+04   0.4428324E+00
  0.5104387E+04   0.4382984E+00
  0.5107623E+04   0.4357556E+00
  0.5110890E+04   0.4365486E+00
  0.5114214E+04   0.4385732E+00
  0.5117543E+04   0.4448376E+00
  0.5120931E+04   0.4492410E+00
  0.5124350E+04   0.4442569E+00
  0.5127800E+04   0.4309554E+00
  0.5131310E+04   0.4112857E+00
  0.5134837E+04   0.3907393E+00
  0.5138398E+04   0.3806268E+00
  0.5142017E+04   0.3813358E+00
  0.5145656E+04   0.3801489E+00
  0.5149327E+04   0.3710886E+00
  0.5153071E+04   0.3635745E+00
  0.5156808E+04   0.3634984E+00
  0.5160604E+04   0.3601210E+00
  0.5164435E+04   0.3509842E+00
  0.5168298E+04   0.3403043E+00
  0.5172223E+04   0.3276776E+00
  0.5176167E+04   0.3136299E+00
  0.5180132E+04   0.3010433E+00
  0.5184145E+04   0.2918855E+00
  0.5188205E+04   0.2815614E+00
  0.5192300E+04   0.2681965E+00
  0.5196443E+04   0.2588600E+00
  0.5200607E+04   0.2533821E+00
  0.5204792E+04   0.2487972E+00
  0.5209041E+04   0.2439198E+00
  0.5213310E+04   0.2391812E+00
  0.5217628E+04   0.2385028E+00
  0.5221997E+04   0.2396306E+00
  0.5226387E+04   0.2331878E+00
  0.5230799E+04   0.2175244E+00
  0.5235275E+04   0.1991294E+00
  0.5239773E+04   0.1866874E+00
  0.5244308E+04   0.1774165E+00
  0.5248908E+04   0.1701035E+00
  0.5253502E+04   0.1636445E+00
  0.5258162E+04   0.1584450E+00
  0.5262845E+04   0.1545703E+00
  0.5267580E+04   0.1496980E+00
  0.5272337E+04   0.1442802E+00
  0.5277147E+04   0.1373568E+00
  0.5281980E+04   0.1273369E+00
  0.5286853E+04   0.1154451E+00
  0.5291777E+04   0.1026148E+00
  0.5296726E+04   0.9029093E-01
  0.5301713E+04   0.7897352E-01
  0.5306740E+04   0.6917869E-01
  0.5311806E+04   0.5901591E-01
  0.5316911E+04   0.4937624E-01
  0.5322042E+04   0.4112408E-01
  0.5327212E+04   0.3389326E-01
  0.5332436E+04   0.2845112E-01
  0.5337672E+04   0.2292176E-01
  0.5342963E+04   0.1690117E-01
  0.5348280E+04   0.8135075E-02
  0.5353652E+04   -.2677442E-02
  0.5359051E+04   -.1333831E-01
  0.5364490E+04   -.2436095E-01
  0.5369957E+04   -.3700576E-01
  0.5375465E+04   -.4851022E-01
  0.5381016E+04   -.5846185E-01
  0.5386593E+04   -.6679086E-01
  0.5392243E+04   -.7365736E-01
  0.5397891E+04   -.8036581E-01
  0.5403596E+04   -.8713319E-01
  0.5409314E+04   -.9515655E-01
