# TR : TI K-EDGE IN EUTIO AT 300K.
# NSLS filename: tieuo.300
# NSLS/X11 EDC-5.02 10-Nov-95 00:09:22 E- ENERGY=2.584GEV
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40. FOCUS=F TRANSLT=F
# E0= 4966.0 NREG= 3 NPTS= 286 NSCLRS= 3 EF=     .0
# SRB=   -190.0    -30.0     30.0   1234.4
# DEL=           19.995    1.001     .070K
# SEC=             1.000    1.000    1.000
# GAINS:    I0=9       It=9       If=8
# OFFSETS:  I0=49192   It=53981   If=356
#---------------------------------------------------------------------
#     energy          xmu        
  0.4775986E+04   0.1444641E+01
  0.4795976E+04   0.1400682E+01
  0.4815975E+04   0.1353980E+01
  0.4835971E+04   0.1308055E+01
  0.4855983E+04   0.1262931E+01
  0.4875964E+04   0.1215647E+01
  0.4895956E+04   0.1172267E+01
  0.4915946E+04   0.1128537E+01
  0.4935944E+04   0.1084967E+01
  0.4936941E+04   0.1083064E+01
  0.4937952E+04   0.1080693E+01
  0.4938951E+04   0.1077988E+01
  0.4939962E+04   0.1076342E+01
  0.4940949E+04   0.1074631E+01
  0.4941949E+04   0.1072057E+01
  0.4942950E+04   0.1069959E+01
  0.4943951E+04   0.1067535E+01
  0.4944964E+04   0.1065975E+01
  0.4945954E+04   0.1063590E+01
  0.4946956E+04   0.1061733E+01
  0.4947958E+04   0.1059356E+01
  0.4948961E+04   0.1057169E+01
  0.4949978E+04   0.1054915E+01
  0.4950957E+04   0.1053008E+01
  0.4951961E+04   0.1051316E+01
  0.4952966E+04   0.1049721E+01
  0.4953959E+04   0.1047829E+01
  0.4954965E+04   0.1045613E+01
  0.4955971E+04   0.1044197E+01
  0.4956965E+04   0.1043118E+01
  0.4957973E+04   0.1040507E+01
  0.4958967E+04   0.1040972E+01
  0.4959988E+04   0.1047776E+01
  0.4960972E+04   0.1055379E+01
  0.4961968E+04   0.1065602E+01
  0.4962990E+04   0.1088597E+01
  0.4963975E+04   0.1075505E+01
  0.4964985E+04   0.1097566E+01
  0.4965971E+04   0.1130616E+01
  0.4966981E+04   0.1142041E+01
  0.4967993E+04   0.1137163E+01
  0.4968980E+04   0.1123936E+01
  0.4969993E+04   0.1125416E+01
  0.4970981E+04   0.1140363E+01
  0.4971981E+04   0.1180430E+01
  0.4972983E+04   0.1261748E+01
  0.4973984E+04   0.1370481E+01
  0.4974987E+04   0.1528806E+01
  0.4975989E+04   0.1737644E+01
  0.4977005E+04   0.1894773E+01
  0.4977983E+04   0.1910362E+01
  0.4978987E+04   0.1860574E+01
  0.4979992E+04   0.1788933E+01
  0.4981009E+04   0.1746283E+01
  0.4981989E+04   0.1736510E+01
  0.4982995E+04   0.1726930E+01
  0.4983988E+04   0.1734401E+01
  0.4984995E+04   0.1772523E+01
  0.4985989E+04   0.1804471E+01
  0.4986997E+04   0.1808834E+01
  0.4988004E+04   0.1799327E+01
  0.4989000E+04   0.1785184E+01
  0.4989997E+04   0.1781706E+01
  0.4990993E+04   0.1788118E+01
  0.4992003E+04   0.1791858E+01
  0.4993013E+04   0.1782103E+01
  0.4993999E+04   0.1768949E+01
  0.4995022E+04   0.1759435E+01
  0.4996008E+04   0.1751426E+01
  0.4997526E+04   0.1736652E+01
  0.4999070E+04   0.1700948E+01
  0.5000667E+04   0.1653021E+01
  0.5002289E+04   0.1610374E+01
  0.5003951E+04   0.1576022E+01
  0.5005677E+04   0.1562020E+01
  0.5007405E+04   0.1536340E+01
  0.5009172E+04   0.1511919E+01
  0.5010992E+04   0.1501548E+01
  0.5012851E+04   0.1489855E+01
  0.5014737E+04   0.1470370E+01
  0.5016663E+04   0.1464292E+01
  0.5018629E+04   0.1474705E+01
  0.5020622E+04   0.1488811E+01
  0.5022668E+04   0.1496267E+01
  0.5024742E+04   0.1491547E+01
  0.5026856E+04   0.1482867E+01
  0.5028997E+04   0.1480011E+01
  0.5031192E+04   0.1490399E+01
  0.5033427E+04   0.1511289E+01
  0.5035678E+04   0.1517591E+01
  0.5037982E+04   0.1508064E+01
  0.5040314E+04   0.1489130E+01
  0.5042701E+04   0.1480344E+01
  0.5045103E+04   0.1489038E+01
  0.5047545E+04   0.1508538E+01
  0.5050056E+04   0.1529952E+01
  0.5052568E+04   0.1539610E+01
  0.5055136E+04   0.1522740E+01
  0.5057720E+04   0.1487878E+01
  0.5060358E+04   0.1457525E+01
  0.5063038E+04   0.1443149E+01
  0.5065735E+04   0.1446967E+01
  0.5068487E+04   0.1457485E+01
  0.5071281E+04   0.1454389E+01
  0.5074092E+04   0.1436951E+01
